Genes,FC_mem_KO_mem WT
Pgr,1.825581395
Acvr1,1.823834197
Dusp4,1.823728814
Fgf23,1.821428571
Mgam,1.821100917
4933421A08Rik,1.820754717
Thbd,1.818368746
Tmem196,1.818181818
Meox2,1.818181818
Ryr2,1.818181818
Zfp583,1.817558299
Cox6b2,1.817391304
Man2c1os,1.816425121
Chodl,1.814285714
Ttc39a,1.813813814
Dclk3,1.8125
Trav15-1-dv6-1,1.8125
Slc22a4,1.812169312
Gm11769,1.811728395
5730460C07Rik,1.811594203
4930519G04Rik,1.811320755
Msi1,1.810810811
Dner,1.810810811
Serpina10,1.80733945
Gm11476,1.805882353
Gstm5,1.805630027
Rbfox2,1.805555556
Gm21909,1.804878049
Tie1,1.8046875
4921528I07Rik,1.804347826
Gstt3,1.804347826
Gm4640,1.802259887
Olfr1487,1.8
H2-DMb2,1.8
Olfr1477,1.8
Mras,1.799331104
Mdga1,1.799196787
Klb,1.799019608
Slc34a2,1.797385621
RP24-532P18.1,1.797297297
Ptprg,1.797183099
Msx3,1.795918367
4930505N22Rik,1.794871795
Fn1,1.794358681
Tacr3,1.792682927
Cabp4,1.792207792
Ccdc149,1.791666667
Olfr1128,1.791666667
Pla2g4c,1.79076087
Afap1l1,1.788546256
Rnd3,1.788343558
Gm26558,1.788235294
Ephb2,1.788018433
4930415F15Rik,1.7875
Gm19196,1.787456446
C230024C17Rik,1.787401575
Gm26526,1.787387387
RP24-131G14.10,1.786982249
Fkbp11,1.786885246
BC028528,1.786833856
Mcpt8,1.786833856
1700016G14Rik,1.786764706
Olfr804,1.785992218
Gm28370,1.785714286
Prg4,1.785553047
Tspan6,1.785046729
Cyp2j6,1.785046729
G6b,1.784246575
Atp6v0d2,1.783783784
Ccdc60,1.783333333
Shisa4,1.783333333
Olfr1220,1.783018868
Hist2h2ab,1.782574568
Gm45336,1.782178218
Zfp936,1.78125
Klhl3,1.781094527
Hp,1.781068899
Gm9800,1.780936455
Tex101,1.780487805
Il12b,1.78021978
Tuft1,1.780155642
B130006D01Rik,1.78
Tacr2,1.778947368
Fcgr4,1.778231293
4933424M12Rik,1.777777778
Unc80,1.776824034
C030029H02Rik,1.776595745
Tectb,1.775862069
Pcdh20,1.775362319
5430416O09Rik,1.774647887
Olfr455,1.774647887
Cd209a,1.773308958
Adamts5,1.772020725
Bmper,1.771428571
Mtnr1b,1.769230769
Jchain,1.769086803
Papln,1.768627451
Hhipl1,1.768518519
Olfr332,1.767857143
Psg28,1.76744186
Scn3a,1.766439909
Cd177,1.766029246
RP23-2F19.2,1.765957447
B930095G15Rik,1.765957447
Psg17,1.765432099
Gm26580,1.764150943
C1ra,1.763888889
Gm5431,1.763803681
Gm13571,1.763636364
Nme6,1.762004175
6030442K20Rik,1.761682243
Lcn2,1.760908395
Rxfp3,1.760869565
Dnhd1_1,1.758807588
Gm42575,1.758064516
Ctnnd1,1.757647059
RP24-325N9.2,1.756756757
Tmem92,1.755555556
Zfp286,1.755494505
Asb14,1.755223881
Olfr140,1.754385965
Prlr,1.752941176
Tifab,1.752532562
Zik1,1.750410509
Ddx25,1.75
Emcn,1.75
Fcrl5,1.75
Hmcn2,1.75
Oscp1,1.75
Efna3,1.75
Rnf208,1.75
Vmn1r216,1.75
4930568G15Rik,1.748815166
Ltf,1.747940038
Cd4,1.747169811
Gm16618,1.747058824
Gm4881,1.746987952
2310014F06Rik,1.745454545
Csl,1.743589744
Slc22a23,1.743574051
Olfr1291-ps1,1.741258741
Otog,1.739130435
Zfp972,1.737704918
4930429P21Rik,1.736842105
Mtus2,1.735006974
Plvap,1.733516484
Ccser1,1.73255814
Pnpla3,1.73255814
E130018O15Rik,1.731428571
Cabyr,1.731092437
Vwa7,1.730263158
Gm35315,1.729508197
Syde2,1.728785358
Ovol1,1.728682171
RP23-115O21.3,1.72845953
Vat1l,1.72826087
Ece2,1.727626459
Abcd2,1.727332892
Elfn2,1.726190476
Rhobtb3,1.725
Fstl3,1.725
Kirrel,1.724696356
Bnc1,1.722972973
Gm5914,1.72243346
Gm44889,1.722222222
Fcmr,1.722002635
Lyz2,1.721459258
Ccdc85a,1.721428571
D830044I16Rik,1.720670391
Olfr787,1.719008264
Gabre,1.718181818
Gm11579,1.717391304
Chrnb4,1.716666667
Dyrk3,1.715015322
Abcg4,1.714754098
Gm12059,1.714285714
Tsx,1.714285714
Gm26706,1.714285714
Nthl1,1.713592233
Cdh1,1.713586291
Clu,1.713229252
Pacsin3,1.713178295
D2Bwg1423e,1.712962963
Ncam1,1.712793734
Ppp1r1a,1.712328767
Slc13a3,1.712121212
Olfr623,1.711538462
Mex3a,1.711415525
Gm11767,1.710843373
Slc27a5,1.710526316
Car15,1.708029197
Rln3,1.707964602
Plcb1,1.707474227
Gm973,1.706896552
Esam,1.705882353
Epha10,1.705882353
4930431F12Rik,1.704918033
Ccdc184,1.704819277
Ccdc150,1.704347826
Tmc1,1.704
Snn,1.703900709
Mylk4,1.703703704
P4ha2,1.702857143
Nlrp2,1.702439024
Fam213a,1.702439024
Gpr141,1.700837851
Nek2,1.700389105
Olfr213,1.7
Mybpc3,1.699751861
Ifngr2,1.699354839
Mettl21e,1.698795181
Gm826,1.698113208
Klhl23,1.697916667
Sypl2,1.697761194
Olfr837,1.696969697
4930481B07Rik,1.696850394
Kcp,1.696721311
Cdr2l,1.696629213
Inhbe,1.695652174
Olfr441,1.695652174
Lmx1b,1.6953125
Jph4,1.695121951
Kbtbd12,1.694610778
Gpr1,1.694117647
L3hypdh,1.693877551
Pomc,1.693363844
RP23-366E4.10,1.693227092
Vmn1r55,1.693181818
Gpr35,1.692454027
Amdhd1,1.692307692
Gm11662,1.692307692
Prss34,1.692170819
Olfr1412,1.691823899
Zscan5b,1.691176471
H2-Eb2,1.691037736
Fbln5,1.690909091
Pfn4,1.69047619
Vmn2r79,1.69047619
Gm26905,1.690387016
Slamf9,1.69005848
4930426L09Rik,1.6900369
Gpr161,1.68952381
Antxr1,1.688946015
Slc6a19,1.688888889
Vmn2r71,1.688888889
Lamp3,1.688311688
Spsb4,1.688073394
Glrp1,1.686956522
